- invocation: True
  version: 3.0
         38/432 [=>............................] - ETA: 3:29 - loss: 8.0617 - acc: 0.5000
         40/432 [=>............................] - ETA: 3:28 - loss: 8.0616 - acc: 0.5000
         42/432 [=>............................] - ETA: 3:26 - loss: 7.6777 - acc: 0.5238
         44/432 [==>...........................] - ETA: 3:26 - loss: 8.0614 - acc: 0.5000
         46/432 [==>...........................] - ETA: 3:25 - loss: 8.4117 - acc: 0.4783
         48/432 [==>...........................] - ETA: 3:24 - loss: 8.3970 - acc: 0.4792
         50/432 [==>...........................] - ETA: 3:22 - loss: 8.7058 - acc: 0.4600
         52/432 [==>...........................] - ETA: 3:20 - loss: 8.6809 - acc: 0.4615
         54/432 [==>...........................] - ETA: 3:19 - loss: 8.6579 - acc: 0.4630
         56/432 [==>...........................] - ETA: 3:18 - loss: 8.3487 - acc: 0.4821
         58/432 [===>..........................] - ETA: 3:17 - loss: 8.3387 - acc: 0.4828
         60/432 [===>..........................] - ETA: 3:15 - loss: 8.3294 - acc: 0.4833
         62/432 [===>..........................] - ETA: 3:13 - loss: 8.3207 - acc: 0.4839
         64/432 [===>..........................] - ETA: 3:12 - loss: 8.0606 - acc: 0.5000
         66/432 [===>..........................] - ETA: 3:10 - loss: 7.8164 - acc: 0.5152
         68/432 [===>..........................] - ETA: 3:08 - loss: 7.8235 - acc: 0.5147
         70/432 [===>..........................] - ETA: 3:07 - loss: 7.6000 - acc: 0.5286
         72/432 [====>.........................] - ETA: 3:05 - loss: 7.3889 - acc: 0.5417
         74/432 [====>.........................] - ETA: 3:04 - loss: 7.4070 - acc: 0.5405
         76/432 [====>.........................] - ETA: 3:03 - loss: 7.2121 - acc: 0.5526
         78/432 [====>.........................] - ETA: 3:01 - loss: 7.2338 - acc: 0.5513
         80/432 [====>.........................] - ETA: 3:00 - loss: 7.2544 - acc: 0.5500
         82/432 [====>.........................] - ETA: 2:59 - loss: 7.2740 - acc: 0.5488
         84/432 [====>.........................] - ETA: 2:57 - loss: 7.1009 - acc: 0.5595
         86/432 [====>.........................] - ETA: 2:56 - loss: 6.9357 - acc: 0.5698
         88/432 [=====>........................] - ETA: 2:55 - loss: 7.1444 - acc: 0.5568
         90/432 [=====>........................] - ETA: 2:54 - loss: 7.1647 - acc: 0.5556
         92/432 [=====>........................] - ETA: 2:52 - loss: 7.0090 - acc: 0.5652
         94/432 [=====>........................] - ETA: 2:51 - loss: 7.0313 - acc: 0.5638
         96/432 [=====>........................] - ETA: 2:50 - loss: 7.0527 - acc: 0.5625
         98/432 [=====>........................] - ETA: 2:49 - loss: 7.2377 - acc: 0.5510
        100/432 [=====>........................] - ETA: 2:48 - loss: 7.2542 - acc: 0.5500
        102/432 [======>.......................] - ETA: 2:47 - loss: 7.2699 - acc: 0.5490
        104/432 [======>.......................] - ETA: 2:46 - loss: 7.2851 - acc: 0.5481
        106/432 [======>.......................] - ETA: 2:45 - loss: 7.2997 - acc: 0.5472
        108/432 [======>.......................] - ETA: 2:44 - loss: 7.3138 - acc: 0.5463
        110/432 [======>.......................] - ETA: 2:43 - loss: 7.1808 - acc: 0.5545
        112/432 [======>.......................] - ETA: 2:42 - loss: 7.1965 - acc: 0.5536
        114/432 [======>.......................] - ETA: 2:40 - loss: 7.3530 - acc: 0.5439
        116/432 [=======>......................] - ETA: 2:39 - loss: 7.5041 - acc: 0.5345
        118/432 [=======>......................] - ETA: 2:38 - loss: 7.5135 - acc: 0.5339
        120/432 [=======>......................] - ETA: 2:37 - loss: 7.5226 - acc: 0.5333
        122/432 [=======>......................] - ETA: 2:36 - loss: 7.5314 - acc: 0.5328
        124/432 [=======>......................] - ETA: 2:35 - loss: 7.4099 - acc: 0.5403
        126/432 [=======>......................] - ETA: 2:33 - loss: 7.4203 - acc: 0.5397
        128/432 [=======>......................] - ETA: 2:32 - loss: 7.3043 - acc: 0.5469
        130/432 [========>.....................] - ETA: 2:31 - loss: 7.1919 - acc: 0.5538
        132/432 [========>.....................] - ETA: 2:30 - loss: 7.2051 - acc: 0.5530
        134/432 [========>.....................] - ETA: 2:29 - loss: 7.3381 - acc: 0.5448
        136/432 [========>.....................] - ETA: 2:27 - loss: 7.3487 - acc: 0.5441
        138/432 [========>.....................] - ETA: 2:26 - loss: 7.4758 - acc: 0.5362
        140/432 [========>.....................] - ETA: 2:25 - loss: 7.4841 - acc: 0.5357
        142/432 [========>.....................] - ETA: 2:24 - loss: 7.4922 - acc: 0.5352
        144/432 [=========>....................] - ETA: 2:23 - loss: 7.6120 - acc: 0.5278
        146/432 [=========>....................] - ETA: 2:22 - loss: 7.7286 - acc: 0.5205
        148/432 [=========>....................] - ETA: 2:21 - loss: 7.8419 - acc: 0.5135
        150/432 [=========>....................] - ETA: 2:20 - loss: 7.8448 - acc: 0.5133
        152/432 [=========>....................] - ETA: 2:19 - loss: 7.8476 - acc: 0.5132
        154/432 [=========>....................] - ETA: 2:18 - loss: 7.7457 - acc: 0.5195
        156/432 [=========>....................] - ETA: 2:17 - loss: 7.7497 - acc: 0.5192
        158/432 [=========>....................] - ETA: 2:15 - loss: 7.7537 - acc: 0.5190
        160/432 [==========>...................] - ETA: 2:14 - loss: 7.7575 - acc: 0.5188
        162/432 [==========>...................] - ETA: 2:13 - loss: 7.8607 - acc: 0.5123
        164/432 [==========>...................] - ETA: 2:12 - loss: 7.8631 - acc: 0.5122
        166/432 [==========>...................] - ETA: 2:11 - loss: 7.8655 - acc: 0.5120
        168/432 [==========>...................] - ETA: 2:10 - loss: 7.7718 - acc: 0.5179
        170/432 [==========>...................] - ETA: 2:09 - loss: 7.6804 - acc: 0.5235
        172/432 [==========>...................] - ETA: 2:08 - loss: 7.6848 - acc: 0.5233
        174/432 [===========>..................] - ETA: 2:07 - loss: 7.7817 - acc: 0.5172
        176/432 [===========>..................] - ETA: 2:06 - loss: 7.7849 - acc: 0.5170
        178/432 [===========>..................] - ETA: 2:05 - loss: 7.7880 - acc: 0.5169
        180/432 [===========>..................] - ETA: 2:04 - loss: 7.7014 - acc: 0.5222
        182/432 [===========>..................] - ETA: 2:03 - loss: 7.7054 - acc: 0.5220
        184/432 [===========>..................] - ETA: 2:01 - loss: 7.7092 - acc: 0.5217
        186/432 [===========>..................] - ETA: 2:00 - loss: 7.7130 - acc: 0.5215
        188/432 [============>.................] - ETA: 1:59 - loss: 7.7167 - acc: 0.5213
        190/432 [============>.................] - ETA: 1:58 - loss: 7.6354 - acc: 0.5263
        192/432 [============>.................] - ETA: 1:57 - loss: 7.6398 - acc: 0.5260
        194/432 [============>.................] - ETA: 1:56 - loss: 7.6442 - acc: 0.5258
        196/432 [============>.................] - ETA: 1:55 - loss: 7.6484 - acc: 0.5255
        198/432 [============>.................] - ETA: 1:54 - loss: 7.6525 - acc: 0.5253
        200/432 [============>.................] - ETA: 1:53 - loss: 7.6566 - acc: 0.5250
        202/432 [=============>................] - ETA: 1:52 - loss: 7.6606 - acc: 0.5248
        204/432 [=============>................] - ETA: 1:51 - loss: 7.6645 - acc: 0.5245
        206/432 [=============>................] - ETA: 1:50 - loss: 7.7466 - acc: 0.5194
        208/432 [=============>................] - ETA: 1:49 - loss: 7.8271 - acc: 0.5144
        210/432 [=============>................] - ETA: 1:48 - loss: 7.8293 - acc: 0.5143
        212/432 [=============>................] - ETA: 1:47 - loss: 7.8314 - acc: 0.5142
        214/432 [=============>................] - ETA: 1:46 - loss: 7.9089 - acc: 0.5093
        216/432 [==============>...............] - ETA: 1:45 - loss: 7.9103 - acc: 0.5093
        218/432 [==============>...............] - ETA: 1:44 - loss: 7.8377 - acc: 0.5138
        220/432 [==============>...............] - ETA: 1:43 - loss: 7.7665 - acc: 0.5182
        222/432 [==============>...............] - ETA: 1:42 - loss: 7.7691 - acc: 0.5180
        224/432 [==============>...............] - ETA: 1:41 - loss: 7.8436 - acc: 0.5134
        226/432 [==============>...............] - ETA: 1:40 - loss: 7.8455 - acc: 0.5133
        228/432 [==============>...............] - ETA: 1:39 - loss: 7.8474 - acc: 0.5132
        230/432 [==============>...............] - ETA: 1:38 - loss: 7.7792 - acc: 0.5174
        232/432 [===============>..............] - ETA: 1:37 - loss: 7.7121 - acc: 0.5216
        234/432 [===============>..............] - ETA: 1:36 - loss: 7.7151 - acc: 0.5214
        236/432 [===============>..............] - ETA: 1:35 - loss: 7.6497 - acc: 0.5254
        238/432 [===============>..............] - ETA: 1:34 - loss: 7.7209 - acc: 0.5210
        240/432 [===============>..............] - ETA: 1:33 - loss: 7.7237 - acc: 0.5208
        242/432 [===============>..............] - ETA: 1:31 - loss: 7.7931 - acc: 0.5165
        244/432 [===============>..............] - ETA: 1:30 - loss: 7.7952 - acc: 0.5164
        246/432 [================>.............] - ETA: 1:29 - loss: 7.8629 - acc: 0.5122
        248/432 [================>.............] - ETA: 1:28 - loss: 7.9295 - acc: 0.5081
        250/432 [================>.............] - ETA: 1:27 - loss: 7.9950 - acc: 0.5040
        252/432 [================>.............] - ETA: 1:26 - loss: 7.9955 - acc: 0.5040
        254/432 [================>.............] - ETA: 1:25 - loss: 8.0594 - acc: 0.5000
        256/432 [================>.............] - ETA: 1:24 - loss: 7.9965 - acc: 0.5039
        258/432 [================>.............] - ETA: 1:23 - loss: 7.9970 - acc: 0.5039
        260/432 [=================>............] - ETA: 1:22 - loss: 7.9974 - acc: 0.5038
        262/432 [=================>............] - ETA: 1:22 - loss: 7.9364 - acc: 0.5076
        264/432 [=================>............] - ETA: 1:21 - loss: 7.9984 - acc: 0.5038
        266/432 [=================>............] - ETA: 1:20 - loss: 7.9382 - acc: 0.5075
        268/432 [=================>............] - ETA: 1:19 - loss: 7.9391 - acc: 0.5075
        270/432 [=================>............] - ETA: 1:18 - loss: 7.9400 - acc: 0.5074
        272/432 [=================>............] - ETA: 1:17 - loss: 7.9409 - acc: 0.5074
        274/432 [==================>...........] - ETA: 1:16 - loss: 8.0006 - acc: 0.5036
        276/432 [==================>...........] - ETA: 1:15 - loss: 8.0594 - acc: 0.5000
        278/432 [==================>...........] - ETA: 1:14 - loss: 8.0594 - acc: 0.5000
        280/432 [==================>...........] - ETA: 1:13 - loss: 8.0018 - acc: 0.5036
        282/432 [==================>...........] - ETA: 1:12 - loss: 7.9451 - acc: 0.5071
        284/432 [==================>...........] - ETA: 1:11 - loss: 7.9459 - acc: 0.5070
        286/432 [==================>...........] - ETA: 1:10 - loss: 7.9467 - acc: 0.5070
        288/432 [===================>..........] - ETA: 1:09 - loss: 7.9475 - acc: 0.5069
        290/432 [===================>..........] - ETA: 1:08 - loss: 7.8927 - acc: 0.5103
        292/432 [===================>..........] - ETA: 1:07 - loss: 7.8938 - acc: 0.5103
        294/432 [===================>..........] - ETA: 1:06 - loss: 7.8949 - acc: 0.5102
        296/432 [===================>..........] - ETA: 1:05 - loss: 7.8416 - acc: 0.5135
        298/432 [===================>..........] - ETA: 1:04 - loss: 7.8430 - acc: 0.5134
        300/432 [===================>..........] - ETA: 1:03 - loss: 7.8982 - acc: 0.5100
        302/432 [===================>..........] - ETA: 1:02 - loss: 7.8993 - acc: 0.5099
        304/432 [====================>.........] - ETA: 1:01 - loss: 7.9003 - acc: 0.5099
        306/432 [====================>.........] - ETA: 1:00 - loss: 7.8487 - acc: 0.5131
        308/432 [====================>.........] - ETA: 59s - loss: 7.8501 - acc: 0.5130 
        310/432 [====================>.........] - ETA: 58s - loss: 7.8514 - acc: 0.5129
        312/432 [====================>.........] - ETA: 57s - loss: 7.9044 - acc: 0.5096
        314/432 [====================>.........] - ETA: 56s - loss: 7.9054 - acc: 0.5096
        316/432 [====================>.........] - ETA: 55s - loss: 7.8553 - acc: 0.5127
        318/432 [=====================>........] - ETA: 54s - loss: 7.8566 - acc: 0.5126
        320/432 [=====================>........] - ETA: 53s - loss: 7.9083 - acc: 0.5094
        322/432 [=====================>........] - ETA: 52s - loss: 7.9092 - acc: 0.5093
        324/432 [=====================>........] - ETA: 51s - loss: 7.9599 - acc: 0.5062
        326/432 [=====================>........] - ETA: 50s - loss: 7.9110 - acc: 0.5092
        328/432 [=====================>........] - ETA: 49s - loss: 7.9119 - acc: 0.5091
        330/432 [=====================>........] - ETA: 49s - loss: 7.9128 - acc: 0.5091
        332/432 [======================>.......] - ETA: 48s - loss: 7.9137 - acc: 0.5090
        334/432 [======================>.......] - ETA: 47s - loss: 7.9146 - acc: 0.5090
        336/432 [======================>.......] - ETA: 46s - loss: 7.9634 - acc: 0.5060
        338/432 [======================>.......] - ETA: 45s - loss: 7.9640 - acc: 0.5059
        340/432 [======================>.......] - ETA: 44s - loss: 7.9645 - acc: 0.5059
        342/432 [======================>.......] - ETA: 43s - loss: 8.0122 - acc: 0.5029
        344/432 [======================>.......] - ETA: 42s - loss: 7.9656 - acc: 0.5058
        346/432 [=======================>......] - ETA: 41s - loss: 7.9662 - acc: 0.5058
        348/432 [=======================>......] - ETA: 40s - loss: 8.0130 - acc: 0.5029
        350/432 [=======================>......] - ETA: 39s - loss: 8.0133 - acc: 0.5029
        352/432 [=======================>......] - ETA: 38s - loss: 8.0593 - acc: 0.5000
        354/432 [=======================>......] - ETA: 37s - loss: 8.1049 - acc: 0.4972
        356/432 [=======================>......] - ETA: 36s - loss: 8.1046 - acc: 0.4972
        358/432 [=======================>......] - ETA: 35s - loss: 8.1044 - acc: 0.4972
        360/432 [========================>.....] - ETA: 34s - loss: 8.1489 - acc: 0.4944
        362/432 [========================>.....] - ETA: 33s - loss: 8.1039 - acc: 0.4972
        364/432 [========================>.....] - ETA: 32s - loss: 8.1479 - acc: 0.4945
        366/432 [========================>.....] - ETA: 31s - loss: 8.1474 - acc: 0.4945
        368/432 [========================>.....] - ETA: 30s - loss: 8.1907 - acc: 0.4918
        370/432 [========================>.....] - ETA: 29s - loss: 8.2336 - acc: 0.4892
        372/432 [========================>.....] - ETA: 28s - loss: 8.2760 - acc: 0.4866
        374/432 [========================>.....] - ETA: 27s - loss: 8.2317 - acc: 0.4893
        376/432 [=========================>....] - ETA: 26s - loss: 8.2737 - acc: 0.4867
        378/432 [=========================>....] - ETA: 25s - loss: 8.2299 - acc: 0.4894
        380/432 [=========================>....] - ETA: 24s - loss: 8.2290 - acc: 0.4895
        382/432 [=========================>....] - ETA: 23s - loss: 8.2281 - acc: 0.4895
        384/432 [=========================>....] - ETA: 22s - loss: 8.2692 - acc: 0.4870
        386/432 [=========================>....] - ETA: 21s - loss: 8.2263 - acc: 0.4896
        388/432 [=========================>....] - ETA: 21s - loss: 8.2255 - acc: 0.4897
        390/432 [==========================>...] - ETA: 20s - loss: 8.2246 - acc: 0.4897
        392/432 [==========================>...] - ETA: 19s - loss: 8.2649 - acc: 0.4872
        394/432 [==========================>...] - ETA: 18s - loss: 8.3048 - acc: 0.4848
        396/432 [==========================>...] - ETA: 17s - loss: 8.3035 - acc: 0.4848
        398/432 [==========================>...] - ETA: 16s - loss: 8.3428 - acc: 0.4824
        400/432 [==========================>...] - ETA: 15s - loss: 8.3011 - acc: 0.4850
        402/432 [==========================>...] - ETA: 14s - loss: 8.2598 - acc: 0.4876
        404/432 [===========================>..] - ETA: 13s - loss: 8.2189 - acc: 0.4901
        406/432 [===========================>..] - ETA: 12s - loss: 8.1784 - acc: 0.4926
        408/432 [===========================>..] - ETA: 11s - loss: 8.1778 - acc: 0.4926
        410/432 [===========================>..] - ETA: 10s - loss: 8.1772 - acc: 0.4927
        412/432 [===========================>..] - ETA: 9s - loss: 8.1375 - acc: 0.4951 
        414/432 [===========================>..] - ETA: 8s - loss: 8.1372 - acc: 0.4952
        416/432 [===========================>..] - ETA: 7s - loss: 8.1368 - acc: 0.4952
        418/432 [============================>.] - ETA: 6s - loss: 8.0979 - acc: 0.4976
        420/432 [============================>.] - ETA: 5s - loss: 8.0593 - acc: 0.5000
        422/432 [============================>.] - ETA: 4s - loss: 8.0593 - acc: 0.5000
        424/432 [============================>.] - ETA: 3s - loss: 8.0593 - acc: 0.5000
        426/432 [============================>.] - ETA: 2s - loss: 8.0593 - acc: 0.5000
        428/432 [============================>.] - ETA: 1s - loss: 8.0593 - acc: 0.5000
        430/432 [============================>.] - ETA: 0s - loss: 8.0968 - acc: 0.4977
        432/432 [==============================] - 229s 529ms/step - loss: 8.0593 - acc: 0.5000 - val_loss: 8.0590 - val_acc: 0.5000
        Epoch 2/3
        
          2/432 [..............................] - ETA: 3:30 - loss: 8.0590 - acc: 0.5000
          4/432 [..............................] - ETA: 3:28 - loss: 8.0590 - acc: 0.5000
          6/432 [..............................] - ETA: 3:32 - loss: 5.3727 - acc: 0.6667
          8/432 [..............................] - ETA: 3:31 - loss: 6.0443 - acc: 0.6250
         10/432 [..............................] - ETA: 3:30 - loss: 4.8354 - acc: 0.7000
         12/432 [..............................] - ETA: 3:33 - loss: 5.3727 - acc: 0.6667
         14/432 [..............................] - ETA: 3:31 - loss: 5.7565 - acc: 0.6429
         16/432 [>.............................] - ETA: 3:29 - loss: 6.0443 - acc: 0.6250
         18/432 [>.............................] - ETA: 3:26 - loss: 6.2681 - acc: 0.6111
         20/432 [>.............................] - ETA: 3:23 - loss: 6.4472 - acc: 0.6000
         22/432 [>.............................] - ETA: 3:21 - loss: 6.5938 - acc: 0.5909
         24/432 [>.............................] - ETA: 3:19 - loss: 6.7159 - acc: 0.5833
         26/432 [>.............................] - ETA: 3:18 - loss: 6.1993 - acc: 0.6154
         28/432 [>.............................] - ETA: 3:17 - loss: 5.7565 - acc: 0.6429
         30/432 [=>............................] - ETA: 3:16 - loss: 6.4472 - acc: 0.6000
         32/432 [=>............................] - ETA: 3:14 - loss: 7.0517 - acc: 0.5625
         34/432 [=>............................] - ETA: 3:13 - loss: 7.1109 - acc: 0.5588
         36/432 [=>............................] - ETA: 3:11 - loss: 7.6113 - acc: 0.5278
         38/432 [=>............................] - ETA: 3:10 - loss: 7.6349 - acc: 0.5263
         40/432 [=>............................] - ETA: 3:08 - loss: 8.0590 - acc: 0.5000
         42/432 [=>............................] - ETA: 3:07 - loss: 7.6753 - acc: 0.5238
         44/432 [==>...........................] - ETA: 3:05 - loss: 7.6927 - acc: 0.5227
         46/432 [==>...........................] - ETA: 3:04 - loss: 7.7087 - acc: 0.5217
         48/432 [==>...........................] - ETA: 3:03 - loss: 8.0590 - acc: 0.5000
         50/432 [==>...........................] - ETA: 3:02 - loss: 8.0590 - acc: 0.5000
         52/432 [==>...........................] - ETA: 3:01 - loss: 8.0590 - acc: 0.5000
         54/432 [==>...........................] - ETA: 3:00 - loss: 7.7606 - acc: 0.5185
         56/432 [==>...........................] - ETA: 2:58 - loss: 7.7712 - acc: 0.5179
         58/432 [===>..........................] - ETA: 2:58 - loss: 7.5033 - acc: 0.5345
         60/432 [===>..........................] - ETA: 2:57 - loss: 7.2531 - acc: 0.5500
         62/432 [===>..........................] - ETA: 2:56 - loss: 7.2791 - acc: 0.5484
         64/432 [===>..........................] - ETA: 2:56 - loss: 7.3035 - acc: 0.5469
         66/432 [===>..........................] - ETA: 2:55 - loss: 7.3264 - acc: 0.5455
         68/432 [===>..........................] - ETA: 2:54 - loss: 7.3480 - acc: 0.5441
         70/432 [===>..........................] - ETA: 2:54 - loss: 7.5985 - acc: 0.5286
         72/432 [====>.........................] - ETA: 2:53 - loss: 7.6113 - acc: 0.5278
         74/432 [====>.........................] - ETA: 2:52 - loss: 7.6234 - acc: 0.5270
         76/432 [====>.........................] - ETA: 2:51 - loss: 7.4228 - acc: 0.5395
         78/432 [====>.........................] - ETA: 2:50 - loss: 7.4391 - acc: 0.5385
         80/432 [====>.........................] - ETA: 2:49 - loss: 7.4546 - acc: 0.5375
         82/432 [====>.........................] - ETA: 2:49 - loss: 7.4694 - acc: 0.5366
         84/432 [====>.........................] - ETA: 2:48 - loss: 7.4834 - acc: 0.5357
         86/432 [====>.........................] - ETA: 2:47 - loss: 7.6842 - acc: 0.5233
         88/432 [=====>........................] - ETA: 2:46 - loss: 7.6927 - acc: 0.5227
         90/432 [=====>........................] - ETA: 2:45 - loss: 7.5218 - acc: 0.5333
         92/432 [=====>........................] - ETA: 2:44 - loss: 7.3583 - acc: 0.5435
         94/432 [=====>........................] - ETA: 2:43 - loss: 7.2017 - acc: 0.5532
         96/432 [=====>........................] - ETA: 2:42 - loss: 7.2196 - acc: 0.5521
         98/432 [=====>........................] - ETA: 2:41 - loss: 7.2367 - acc: 0.5510
        100/432 [=====>........................] - ETA: 2:40 - loss: 7.2531 - acc: 0.5500
        102/432 [======>.......................] - ETA: 2:39 - loss: 7.1109 - acc: 0.5588
        104/432 [======>.......................] - ETA: 2:38 - loss: 7.1292 - acc: 0.5577
        106/432 [======>.......................] - ETA: 2:36 - loss: 7.2988 - acc: 0.5472
        108/432 [======>.......................] - ETA: 2:35 - loss: 7.3128 - acc: 0.5463
        110/432 [======>.......................] - ETA: 2:34 - loss: 7.3264 - acc: 0.5455
        112/432 [======>.......................] - ETA: 2:33 - loss: 7.3395 - acc: 0.5446
        114/432 [======>.......................] - ETA: 2:32 - loss: 7.3521 - acc: 0.5439
        116/432 [=======>......................] - ETA: 2:31 - loss: 7.2254 - acc: 0.5517
        118/432 [=======>......................] - ETA: 2:30 - loss: 7.3761 - acc: 0.5424
        120/432 [=======>......................] - ETA: 2:29 - loss: 7.2531 - acc: 0.5500
        122/432 [=======>......................] - ETA: 2:28 - loss: 7.2664 - acc: 0.5492
        124/432 [=======>......................] - ETA: 2:27 - loss: 7.2791 - acc: 0.5484
        126/432 [=======>......................] - ETA: 2:26 - loss: 7.2915 - acc: 0.5476
        128/432 [=======>......................] - ETA: 2:25 - loss: 7.3035 - acc: 0.5469
        130/432 [========>.....................] - ETA: 2:24 - loss: 7.4391 - acc: 0.5385
        132/432 [========>.....................] - ETA: 2:23 - loss: 7.5706 - acc: 0.5303
        134/432 [========>.....................] - ETA: 2:22 - loss: 7.6982 - acc: 0.5224
        136/432 [========>.....................] - ETA: 2:21 - loss: 7.8220 - acc: 0.5147
        138/432 [========>.....................] - ETA: 2:20 - loss: 7.8255 - acc: 0.5145
        140/432 [========>.....................] - ETA: 2:19 - loss: 7.9439 - acc: 0.5071
        142/432 [========>.....................] - ETA: 2:18 - loss: 7.9455 - acc: 0.5070
        144/432 [=========>....................] - ETA: 2:17 - loss: 7.8352 - acc: 0.5139
        146/432 [=========>....................] - ETA: 2:16 - loss: 7.7279 - acc: 0.5205
        148/432 [=========>....................] - ETA: 2:15 - loss: 7.8412 - acc: 0.5135
        150/432 [=========>....................] - ETA: 2:14 - loss: 7.7367 - acc: 0.5200
        152/432 [=========>....................] - ETA: 2:13 - loss: 7.6349 - acc: 0.5263
        154/432 [=========>....................] - ETA: 2:12 - loss: 7.5357 - acc: 0.5325
        156/432 [=========>....................] - ETA: 2:11 - loss: 7.5424 - acc: 0.5321
